,Account,Text,Date,datetime,compound,neg,neu,pos
33,BBC North America,Migrant family separations: States sue Trump administration https://t.co/H5LgMqJ3cC,2018-06-26,2018-06-26 15:40:34-04:00,0.0,0.0,1.0,0.0
34,BBC North America,US college quarterback 'had brain disorder' before suicide https://t.co/7vDdLkcCCg,2018-06-26,2018-06-26 14:10:23-04:00,-0.802,0.507,0.493,0.0
35,BBC North America,"RT @colleenhagerty: It's #ElectionDay in Oklahoma, and an unprecedented number of teachers are on the ballot. Here's why: https://t.co/kBlR…",2018-06-26,2018-06-26 12:23:52-04:00,0.0772,0.0,0.933,0.067
36,BBC North America,"RT @awzurcher: Outside the Supreme Court, a crowd is chanting “no ban, no wall.” https://t.co/flVUOA7USb",2018-06-26,2018-06-26 12:23:44-04:00,-0.296,0.284,0.539,0.176
37,BBC North America,"RT @awzurcher: The latest from outside the Supreme Court. There's a small rally here right now that is a grab-bag of abortion, gay rights a…",2018-06-26,2018-06-26 11:42:50-04:00,0.5574,0.0,0.859,0.141
38,BBC North America,Teenager helps deaf and blind man to communicate on flight https://t.co/QLwJ0nNBPi,2018-06-26,2018-06-26 11:32:04-04:00,-0.0258,0.189,0.629,0.182
39,BBC North America,Ottawa Bluesfest preparations obstructed by nesting bird https://t.co/dL0yHBXtR0,2018-06-26,2018-06-26 11:22:41-04:00,0.0,0.0,1.0,0.0
40,BBC North America,New Zealand man shot after 'flying to US to attack teenager' https://t.co/b0Jo6hXdKY,2018-06-26,2018-06-26 11:03:19-04:00,-0.4767,0.22,0.78,0.0
41,BBC North America,Trump travel ban: What does this ruling mean? https://t.co/Qe1M3TC6JU,2018-06-26,2018-06-26 10:50:00-04:00,-0.5574,0.31,0.69,0.0
42,BBC North America,RT @hannahlonghiggs: What are the alternatives to detention and what's the cost difference? I took a look. Here's what I found: https://t.c…,2018-06-26,2018-06-26 10:39:28-04:00,-0.3612,0.122,0.878,0.0
43,BBC North America,"RT @awzurcher: The ban - on Iran, Yemen, Somalia, Syria, Libya, North Korea and Venezuela - had already been allowed to go into effect. Whi…",2018-06-26,2018-06-26 10:38:14-04:00,-0.5574,0.141,0.859,0.0
44,BBC North America,US Supreme Court upholds Trump's travel ban https://t.co/f69RfkGpmH,2018-06-26,2018-06-26 10:26:09-04:00,0.0,0.273,0.455,0.273
45,BBC North America,Donald Trump criticises Harley-Davidson for decision over tariffs https://t.co/gTdAWMjdQt,2018-06-25,2018-06-25 20:39:26-04:00,-0.3182,0.223,0.777,0.0
46,BBC North America,US astronaut Buzz Aldrin sues his two children for 'misuse of finances' https://t.co/F1Uq9ASPDI,2018-06-25,2018-06-25 20:31:53-04:00,0.0,0.0,1.0,0.0
47,BBC North America,Oscars awards body acts to boost diversity with 928 member invitations https://t.co/M8P5N99u3v,2018-06-25,2018-06-25 20:04:43-04:00,0.6908,0.0,0.637,0.363
48,BBC North America,US border agents halt migrant family prosecutions https://t.co/BVBKJ4BZnQ,2018-06-25,2018-06-25 17:56:34-04:00,0.0,0.0,1.0,0.0
